,latitude,longitude
737,37.46948,126.9656
738,37.46987,126.96668
739,37.46947,126.96797
740,37.4692,126.96823
741,37.4697,126.96961
742,37.46985,126.97788
743,37.46956,126.98545
744,37.46949,127.02387
745,37.46927,127.02505
746,37.46901,127.02647
747,37.46937,127.03155
748,37.46941,127.03589
749,37.46964,127.04142
750,37.46993,127.04265
751,37.46936,127.0433
752,37.46983,127.04432
753,37.46914,127.04512
754,37.46964,127.04765
755,37.46963,127.08897
756,37.46958,127.09061
757,37.46923,127.09171
758,37.46909,127.10016
759,37.46995,127.10392
760,37.46936,127.10424
761,37.46973,127.11818
762,37.46986,127.11918
763,37.46927,127.12084
764,37.46991,127.12556
765,37.4693,127.12606
766,37.47063,126.89668
767,37.47023,126.89887
768,37.47025,126.8991
769,37.47064,126.90032
770,37.47002,126.90187
771,37.47092,126.90201
772,37.47083,126.90385
773,37.47045,126.90488
774,37.47064,126.90569
775,37.47034,126.90653
776,37.47025,126.91671
777,37.47029,126.91759
778,37.47052,126.91861
779,37.47065,126.91951
780,37.47056,126.92034
781,37.47027,126.92168
782,37.47016,126.92234
783,37.47029,126.92398
784,37.47015,126.92437
785,37.47055,126.92799
786,37.47048,126.92873
787,37.47034,126.92936
788,37.47052,126.93023
789,37.47056,126.93246
790,37.47005,126.93381
791,37.47051,126.93494
792,37.47049,126.93508
793,37.47041,126.93676
794,37.47069,126.9377
795,37.47046,126.93891
796,37.47041,126.93979
797,37.47077,126.94083
798,37.4703,126.94124
799,37.47081,126.95923
800,37.47085,126.96068
801,37.47059,126.96125
802,37.47065,126.96509
803,37.47077,126.96651
804,37.47039,126.96775
805,37.47067,126.96863
806,37.47087,126.97008
807,37.4709,126.97351
808,37.47027,126.9975
809,37.47053,127.02551
810,37.47095,127.03433
811,37.47064,127.03672
812,37.47034,127.03708
813,37.47077,127.04053
814,37.47034,127.04234
815,37.47095,127.04308
816,37.47063,127.04486
817,37.4703,127.0455
818,37.47062,127.04626
819,37.47049,127.04796
820,37.47086,127.04916
821,37.4704,127.0899
822,37.47081,127.09226
823,37.47083,127.09308
824,37.47042,127.10263
825,37.47033,127.10332
826,37.4703,127.10463
827,37.47033,127.10501
828,37.47063,127.10957
829,37.47091,127.11864
830,37.47189,126.88917
831,37.47129,126.89377
832,37.47147,126.90062
833,37.47119,126.90121
834,37.4716,126.90257
835,37.47128,126.90377
836,37.47162,126.90448
837,37.47149,126.90579
838,37.47156,126.91114
839,37.47181,126.91208
840,37.47148,126.91791
841,37.47157,126.91804
842,37.47166,126.91957
843,37.47152,126.92066
844,37.47131,126.93024
845,37.47144,126.93122
846,37.47158,126.93248
847,37.47165,126.93345
848,37.4714,126.93409
849,37.47189,126.93581
850,37.47147,126.93653
851,37.47164,126.93774
852,37.47192,126.93813
853,37.47161,126.93932
854,37.47132,126.94179
855,37.47121,126.95876
856,37.47112,126.9605
857,37.47102,126.9614
858,37.47156,126.96593
859,37.47161,126.96607
860,37.4713,126.96776
861,37.4717,126.96872
862,37.47151,126.97276
863,37.47168,126.97302
864,37.47171,126.97442
865,37.47132,126.97761
866,37.47157,126.97864
867,37.47177,126.97905
868,37.47169,127.02429
869,37.47172,127.03314
870,37.47129,127.03465
871,37.4711,127.03553
872,37.47197,127.03976
873,37.47174,127.04087
874,37.47113,127.0417
875,37.47138,127.04219
876,37.47131,127.04543
877,37.47171,127.04652
878,37.47122,127.04768
879,37.47173,127.04881
880,37.4716,127.05026
881,37.47176,127.05163
882,37.4717,127.09007
883,37.47168,127.09131
884,37.47165,127.09549
885,37.47179,127.09621
886,37.47169,127.1064
887,37.47161,127.1078
888,37.47185,127.10889
889,37.47176,127.10955
890,37.47182,127.11964
891,37.47278,126.88868
892,37.47267,126.88923
893,37.47229,126.89052
894,37.47232,126.89162
895,37.47235,126.89266
896,37.47228,126.89489
897,37.47232,126.89508
898,37.47291,126.89617
899,37.47214,126.89882
900,37.47247,126.89917
901,37.47232,126.90055
902,37.47247,126.90325
903,37.47211,126.9049
904,37.47265,126.90577
905,37.47263,126.90615
906,37.47205,126.91103
907,37.47223,126.91213
908,37.47295,126.91764
909,37.47264,126.91848
910,37.47254,126.91963
911,37.47257,126.92036
912,37.4725,126.92134
913,37.47231,126.92251
914,37.47223,126.92316
915,37.47256,126.92996
916,37.47253,126.93435
917,37.47241,126.93555
918,37.47236,126.93676
919,37.47279,126.93768
920,37.47203,126.93942
921,37.47261,126.94037
922,37.47218,126.94212
923,37.47223,126.95959
924,37.4729,126.9623
925,37.4725,126.96311
926,37.47285,126.96474
927,37.47272,126.96527
928,37.47242,126.96664
929,37.47246,126.96755
930,37.47277,126.96805
931,37.47209,126.96934
932,37.47243,126.97083
933,37.47214,126.97195
934,37.4726,126.97247
935,37.47255,126.97474
936,37.47293,126.97754
937,37.47267,126.97835
938,37.47246,126.97981
939,37.47293,126.98031
940,37.4726,126.98173
941,37.4722,126.98223
942,37.47223,126.99399
943,37.47223,126.99444
